city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Paris,48.8566,2.3522,France,FR,Île-de-France,primary,11020000,2148271
Nice,43.7034,7.2663,France,FR,Provence-Alpes-Côte d’Azur,minor,1006402,341032
Toulouse,43.6045,1.4440,France,FR,Occitanie,admin,968638,486828
Marseille,43.2964,5.3700,France,FR,Provence-Alpes-Côte d’Azur,admin,870018,868277
Rennes,48.1147,-1.6794,France,FR,Bretagne,admin,727357,217728
Grenoble,45.1715,5.7224,France,FR,Auvergne-Rhône-Alpes,minor,687985,157650
Nantes,47.2181,-1.5528,France,FR,Pays de la Loire,admin,633690,314138
Montpellier,43.6119,3.8772,France,FR,Occitanie,minor,607896,290053
Lyon,45.7600,4.8400,France,FR,Auvergne-Rhône-Alpes,admin,516092,516092
Rouen,49.4428,1.0886,France,FR,Normandie,admin,494382,111360
Strasbourg,48.5833,7.7458,France,FR,Grand Est,admin,465069,284677
Nancy,48.6936,6.1846,France,FR,Grand Est,minor,434565,104885
Metz,49.1203,6.1778,France,FR,Grand Est,minor,391187,116581
Brest,48.3900,-4.4900,France,FR,Bretagne,minor,300300,139602
Mulhouse,47.7500,7.3400,France,FR,Grand Est,minor,285121,108942
Limoges,45.8353,1.2625,France,FR,Nouvelle-Aquitaine,minor,283823,131479
Orléans,47.9025,1.9090,France,FR,Centre-Val de Loire,admin,282828,116238
Bordeaux,44.8400,-0.5800,France,FR,Nouvelle-Aquitaine,admin,257804,257068
Le Havre,49.4900,0.1000,France,FR,Normandie,minor,235218,169733
Lille,50.6278,3.0583,France,FR,Hauts-de-France,admin,232787,232787
Reims,49.2628,4.0347,France,FR,Grand Est,minor,182460,182211
Saint-Étienne,45.4347,4.3903,France,FR,Auvergne-Rhône-Alpes,minor,172565,172565
Toulon,43.1258,5.9306,France,FR,Provence-Alpes-Côte d’Azur,minor,171953,171953
Dijon,47.3167,5.0167,France,FR,Bourgogne-Franche-Comté,admin,156920,156854
Angers,47.4736,-0.5542,France,FR,Pays de la Loire,minor,152960,152960
Nîmes,43.8380,4.3610,France,FR,Occitanie,minor,151001,149633
Villeurbanne,45.7667,4.8803,France,FR,Auvergne-Rhône-Alpes,,147712,147712
Clermont-Ferrand,45.7831,3.0824,France,FR,Auvergne-Rhône-Alpes,minor,143886,143886
Le Mans,48.0077,0.1984,France,FR,Pays de la Loire,minor,142946,142946
Aix-en-Provence,43.5263,5.4454,France,FR,Provence-Alpes-Côte d’Azur,minor,142482,142482
Amiens,49.8920,2.2990,France,FR,Hauts-de-France,minor,136105,133891
Tours,47.2436,0.6892,France,FR,Centre-Val de Loire,minor,135787,135787
Boulogne-sur-Mer,50.7264,1.6147,France,FR,Hauts-de-France,minor,133062,40664
Annecy,45.9160,6.1330,France,FR,Auvergne-Rhône-Alpes,minor,126924,126924
Perpignan,42.6986,2.8956,France,FR,Occitanie,minor,120158,119188
Boulogne-Billancourt,48.8352,2.2409,France,FR,Île-de-France,minor,120071,120071
Besançon,47.2400,6.0200,France,FR,Bourgogne-Franche-Comté,minor,115934,115934
Belfort,47.6400,6.8500,France,FR,Bourgogne-Franche-Comté,minor,114445,46954
Saint-Denis,48.9356,2.3539,France,FR,Île-de-France,minor,111135,111135
Argenteuil,48.9500,2.2500,France,FR,Île-de-France,minor,110210,110210
Montreuil,48.8611,2.4436,France,FR,Île-de-France,,109897,109897
Caen,49.1800,-0.3700,France,FR,Normandie,minor,105354,105354
Roubaix,50.6901,3.1817,France,FR,Hauts-de-France,,100000,98089
Tourcoing,50.7239,3.1612,France,FR,Hauts-de-France,,97368,97368
Nanterre,48.8988,2.1969,France,FR,Île-de-France,minor,95105,95105
Avignon,43.9500,4.8075,France,FR,Provence-Alpes-Côte d’Azur,minor,93671,91729
